Batting Order,Nickname,Position,Team,Opponent,Home,Game,SO,Field Outs,BB,HPB,1B,2B,3B,HR,Durability,adv1B
,Justin Verlander,P,HOU,BAL,BAL,HOU@BAL,0.2721202003,0.5008347245,0.04507512521,0.008347245409,0.1318864775,0.02003338898,0.001669449082,0.02003338898,23,
,Shane Bieber,P,CLE,CWS,CWS,CLE@CWS,0.2573426573,0.4783216783,0.04895104895,0.002797202797,0.1538461538,0.03356643357,0.002797202797,0.02237762238,25,
,Max Fried,P,ATL,PHI,PHI,ATL@PHI,0.2291066282,0.5086455331,0.0446685879,0.005763688761,0.1585014409,0.03314121037,0.00288184438,0.01729106628,24,
,Brandon Woodruff,P,MIL,CIN,CIN,MIL@CIN,0.2934782609,0.4275362319,0.06884057971,0.009057971014,0.1195652174,0.05072463768,0.001811594203,0.02898550725,23,
,Julio Urias,P,LAD,ARI,LAD,ARI@LAD,0.2439807384,0.5056179775,0.05939004815,0.008025682183,0.1155698234,0.02889245586,0.00481540931,0.03370786517,22,
,Zac Gallen,P,ARI,LAD,LAD,ARI@LAD,0.2613458529,0.4835680751,0.06729264476,0.01877934272,0.1064162754,0.04381846635,0,0.01877934272,22,
,Michael Wacha,P,BOS,NYY,NYY,BOS@NYY,0.2030905077,0.53200883,0.05739514349,0.006622516556,0.1302428256,0.04415011038,0.002207505519,0.02428256071,22,
,Johnny Cueto,P,CWS,CLE,CWS,CLE@CWS,0.1538461538,0.541958042,0.0541958042,0.01048951049,0.1590909091,0.0541958042,0.001748251748,0.02447552448,26,
,Jameson Taillon,P,NYY,BOS,NYY,BOS@NYY,0.2030769231,0.5153846154,0.04461538462,0.006153846154,0.1323076923,0.05692307692,0.004615384615,0.03692307692,22,
,Jose Berrios,P,TOR,TB,TB,TOR@TB,0.1976744186,0.4680232558,0.05668604651,0.01598837209,0.1744186047,0.04505813953,0.001453488372,0.04069767442,23,
,Ranger Suarez,P,PHI,ATL,PHI,ATL@PHI,0.1989881956,0.4890387858,0.08937605396,0.003372681282,0.1450252951,0.05227655987,0.001686340641,0.02023608769,22,
,Hunter Greene,P,CIN,MIL,CIN,MIL@CIN,0.2980561555,0.3909287257,0.08855291577,0.0151187905,0.1166306695,0.04103671706,0,0.04967602592,22,
,Hayden Wesneski,P,CHC,PIT,PIT,CHC@PIT,0.2575107296,0.4763948498,0.06008583691,0.008583690987,0.1115879828,0.05150214592,0,0.03433476395,19,
,Mitch Keller,P,PIT,CHC,PIT,CHC@PIT,0.1964285714,0.4642857143,0.08603896104,0.01461038961,0.1720779221,0.04220779221,0.003246753247,0.0211038961,22,
,Kyle Bradish,P,BAL,HOU,BAL,HOU@BAL,0.2113636364,0.4409090909,0.08409090909,0.01363636364,0.1772727273,0.03636363636,0,0.03636363636,22,
,Ryan Yarbrough,P,TB,TOR,TB,TOR@TB,0.1724137931,0.4913793103,0.06034482759,0.0316091954,0.1609195402,0.05459770115,0,0.02873563218,18,
1,Aaron Judge,H,NYY,BOS,NYY,BOS@NYY,0.2595943838,0.3186115445,0.1481123245,0.007800312012,0.1189703588,0.03833073323,0,0.1085803432,,0.6640625
3,Yordan Alvarez,H,HOU,BAL,BAL,HOU@BAL,0.1812716763,0.4056647399,0.1448747592,0.01156069364,0.1323314066,0.04161849711,0.003545279383,0.07913294798,,0.71875
3,Jose Ramirez,H,CLE,CWS,CWS,CLE@CWS,0.1131962025,0.5310443038,0.1106962025,0.009493670886,0.1175,0.0578164557,0.003987341772,0.05626582278,,0.5733333333
3,Bo Bichette,H,TOR,TB,TB,TOR@TB,0.2442812983,0.44374034,0.0584698609,0.003091190108,0.1541731066,0.06210200927,0.001499227202,0.03264296754,,0.6807228916
2,Freddie Freeman,H,LAD,ARI,LAD,ARI@LAD,0.1494704992,0.4568683812,0.1027080182,0.00756429652,0.1767776097,0.067397882,0.002299546142,0.03691376702,,0.6810810811
1,Trea Turner,H,LAD,ARI,LAD,ARI@LAD,0.1857709924,0.476610687,0.05821374046,0.004580152672,0.1754961832,0.0574351145,0.004641221374,0.0372519084,,0.6492146597
4,Bryce Harper,H,PHI,ATL,PHI,ATL@PHI,0.2122702703,0.4134324324,0.1085675676,0.008108108108,0.1364594595,0.06535135135,0.003432432432,0.05237837838,,0.6043956044
5,Kyle Tucker,H,HOU,BAL,BAL,HOU@BAL,0.1481195079,0.5147100176,0.101370826,0,0.1349033392,0.04270650264,0.001616871705,0.05657293497,,0.6124031008
1,George Springer,H,TOR,TB,TB,TOR@TB,0.1870895522,0.4909514925,0.09229477612,0.01305970149,0.1364738806,0.0402238806,0.005429104478,0.03447761194,,0.6724137931
2,Rafael Devers,H,BOS,NYY,NYY,BOS@NYY,0.1969557522,0.4596283186,0.07507964602,0.01061946903,0.1382654867,0.06281415929,0.001203539823,0.05543362832,,0.6640625
2,Vladimir Guerrero Jr.,H,TOR,TB,TB,TOR@TB,0.1752679939,0.4984226646,0.07872894334,0.009188361409,0.1469372129,0.05102603369,0,0.0404287902,,0.7123287671
3,Xander Bogaerts,H,BOS,NYY,NYY,BOS@NYY,0.2002044293,0.4292504259,0.09119250426,0.01533219761,0.1774446337,0.05890971039,0,0.02766609881,,0.7125
3,Austin Riley,H,ATL,PHI,PHI,ATL@PHI,0.24703125,0.400140625,0.08046875,0.021875,0.12684375,0.053765625,0.00396875,0.06590625,,0.6666666667
1,Ronald Acuna Jr.,H,ATL,PHI,PHI,ATL@PHI,0.239030303,0.4037777778,0.101959596,0.0202020202,0.16,0.04509090909,0,0.02993939394,,0.6363636364
2,Anthony Rizzo,H,NYY,BOS,NYY,BOS@NYY,0.1977029703,0.4651881188,0.11,0.03564356436,0.08287128713,0.03603960396,0.001346534653,0.07120792079,,0.64
7,Michael Harris II,H,ATL,PHI,PHI,ATL@PHI,0.2464781491,0.4037017995,0.04501285347,0.01285347044,0.1705141388,0.06215938303,0.006529562982,0.05275064267,,0.5964912281
4,Eloy Jimenez,H,CWS,CLE,CWS,CLE@CWS,0.1986941581,0.4246391753,0.09470790378,0.01030927835,0.1776632302,0.03288659794,0,0.06109965636,,0.8333333333
4,Randy Arozarena,H,TB,TOR,TB,TOR@TB,0.2569023569,0.4276262626,0.06695286195,0.01851851852,0.1375420875,0.06104377104,0.003265993266,0.02814814815,,0.5808383234
3,Jose Abreu,H,CWS,CLE,CWS,CLE@CWS,0.1641001565,0.4608450704,0.09953051643,0.01564945227,0.1824100156,0.04765258216,0,0.02981220657,,0.7798742138
4,Alex Bregman,H,HOU,BAL,BAL,HOU@BAL,0.1194728171,0.5037067545,0.1391433278,0.01647446458,0.1264579901,0.05634266886,0,0.03840197694,,0.6666666667
2,Dansby Swanson,H,ATL,PHI,PHI,ATL@PHI,0.26615625,0.39728125,0.075640625,0.0046875,0.17325,0.04359375,0.001984375,0.03740625,,0.7083333333
2,Willy Adames,H,MIL,CIN,CIN,MIL@CIN,0.2727758007,0.3824021352,0.08893238434,0.001779359431,0.1120996441,0.05871886121,0,0.08329181495,,0.637254902
3,Gunnar Henderson,H,BAL,HOU,BAL,HOU@BAL,0.2284333783,0.449091353,0.07451011318,0,0.1542447758,0.050637941,0.007394746939,0.03568769175,,0.652173913
1,Christian Yelich,H,MIL,CIN,CIN,MIL@CIN,0.2501620746,0.376904376,0.1289465154,0.008103727715,0.1572123177,0.04457050243,0.004732576985,0.02936790924,,0.6875
4,Christian Walker,H,ARI,LAD,LAD,ARI@LAD,0.1998697068,0.4741205212,0.09996742671,0.01302931596,0.1067589577,0.0354723127,0.001237785016,0.06954397394,,0.7473684211
1,Kyle Schwarber,H,PHI,ATL,PHI,ATL@PHI,0.3078303426,0.3701468189,0.1226590538,0.004893964111,0.0855954323,0.03034257749,0.004143556281,0.07438825449,,0.6428571429
